OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
728335,167190867,IDAHO COUNTY LIGHT & POWER,HIGHWAY 13,GRANGEVILLE,ID,Idaho,83530,5065,22112202,491101,7079,,0,,15,,,6,PointAddress,M,100,INFOGROUP,0
2609344,403861529,GRANGEVILLE WATER DEPT,W NORTH ST,GRANGEVILLE,ID,Idaho,83530,1729,22131003,494102,3271,,0,,20,,,8,PointAddress,M,100,INFOGROUP,0
728355,167191998,WALCO INC,S HALL ST,GRANGEVILLE,ID,Idaho,83530,2126,56211901,495302,1403,,0,,10,,,5,PointAddress,M,100,INFOGROUP,0
2316572,402274478,WALCO INC,TRANSFER STA,GRANGEVILLE,ID,Idaho,83530,,56211901,495302,842,,0,,6,,,4,Postal,M,100,INFOGROUP,0
5151498,435146388,ADT ALARM & SECURITY,GREENACRES LN,GRANGEVILLE,ID,Idaho,83530,1330,42361063,506304,2083,,0,,3,,,3,PointAddress,M,100,INFOGROUP,0
1964447,398183087,GEM CUTTING SYSTEMS,HIGHWAY 95 N,GRANGEVILLE,ID,Idaho,83530,,42381003,508207,6367,,0,,7,,,2,PointAddress,M,100,INFOGROUP,0
19842,2519965,BELL EQUIPMENT INC,W SOUTH ST,GRANGEVILLE,ID,Idaho,83530,1934,42382005,508310,22486,,0,,25,,,5,PointAddress,M,100,INFOGROUP,0
9312981,715764178,LAZY H LIVESTOCK,PO BOX 177,GRANGEVILLE,ID,Idaho,83530,177,42452008,515403,4808,,0,,4,,,3,Postal,M,100,INFOGROUP,2
940484,215501453,ICP INC,HIGHWAY 13,GRANGEVILLE,ID,Idaho,83530,5065,42472005,517208,42847,,0,,5,,,4,PointAddress,M,100,INFOGROUP,0
728343,167191238,MC GREGOR CO,FRONTAGE RD,GRANGEVILLE,ID,Idaho,83530,,42491015,519114,11309,2,840788129,,9,,,4,PointAddress,M,100,INFOGROUP,0
13022407,980120091,LUCKY STAR GARAGE DOOR OPENERS,CANYON RD,GRANGEVILLE,ID,Idaho,83530,5327,44419018,521101,534,,0,,3,,,2,PointAddress,M,100,INFOGROUP,0
7873142,691252431,QUALITY TRUSS,N D ST,GRANGEVILLE,ID,Idaho,83530,1128,44419067,521124,712,,0,,4,,,3,PointAddress,M,100,INFOGROUP,0
728332,167190636,GRANGEVILLE BUILDERS,SW 1ST ST,GRANGEVILLE,ID,Idaho,83530,1360,44411001,521126,1779,,0,,10,B,,5,StreetAddress,M,100,INFOGROUP,0
1964442,398182527,ACCUMIX CONCRETE,W NORTH ST,GRANGEVILLE,ID,Idaho,83530,1240,44419012,521128,356,,0,,2,,,3,PointAddress,M,100,INFOGROUP,0
2316559,402274404,EARLY BIRD,N D ST,GRANGEVILLE,ID,Idaho,83530,1128,44419044,521142,2135,,0,,12,,,6,PointAddress,M,100,INFOGROUP,0
